"name": "Iron Sword",	"name": "鉄の剣",
"name": "Retribution",	"name": "雪辱",
"name": "Glimmer",	"name": "凶星",
"name": "Astra",	"name": "流星",
"name": "Draconic Aura",	"name": "竜裂",
"name": "Dragon Fang",	"name": "竜穿",
"name": "Bonfire",	"name": "緋炎",
"name": "Ignis",	"name": "華炎",
"name": "Noontime",	"name": "夕陽",
"name": "Sol",	"name": "太陽",
"name": "Moonbow",	"name": "月虹",
"name": "Luna",	"name": "月光",
"name": "Iceberg",	"name": "氷蒼",
"name": "Glacies",	"name": "氷華",
"name": "Reprisal",	"name": "血讐",
"name": "Vengeance",	"name": "復讐",
"name": "Galeforce",	"name": "疾風迅雷",
"name": "Aether",	"name": "天空",
"name": "Rising Thunder",	"name": "砕雷",
"name": "Rising Wind",	"name": "砕風",
"name": "Rising Light",	"name": "砕光",
"name": "Rising Flame",	"name": "砕火",
"name": "Growing Thunder",	"name": "爆雷",
"name": "Blazing Thunder",	"name": "烈雷",
"name": "Growing Wind",	"name": "爆風",
"name": "Blazing Wind",	"name": "烈風",
"name": "Growing Light",	"name": "爆光",
"name": "Blazing Light",	"name": "烈光",
"name": "Growing Flame",	"name": "爆火",
"name": "Blazing Flame",	"name": "烈火",
"name": "Buckler",	"name": "小盾",
"name": "Holy Vestments",	"name": "聖衣",
"name": "Escutcheon",	"name": "長盾",
"name": "Pavise",	"name": "大盾",
"name": "Sacred Cowl",	"name": "聖兜",
"name": "Aegis",	"name": "聖盾",
"name": "Imbue",	"name": "治癒",
"name": "Heavenly Light",	"name": "天照",
"name": "Kindled-Fire Balm",	"name": "業火の祝福",
"name": "Swift-Winds Balm",	"name": "疾風の祝福",
"name": "Solid-Earth Balm",	"name": "大地の祝福",
"name": "Still-Water Balm",	"name": "静水の祝福",
"name": "Miracle",	"name": "祈り",
"name": "HP 3",	"name": "ＨＰ 1",
"name": "HP 4",	"name": "ＨＰ 2",
"name": "HP 5",	"name": "ＨＰ 3",
"name": "Attack 1",	"name": "攻撃 1",
"name": "Attack 2",	"name": "攻撃 2",
"name": "Attack 3",	"name": "攻撃 3",
"name": "Speed 1",	"name": "速さ 1",
"name": "Speed 2",	"name": "速さ 2",
"name": "Speed 3",	"name": "速さ 3",
"name": "Defense 1",	"name": "守備 1",
"name": "Defense 2",	"name": "守備 2",
"name": "Defense 3",	"name": "守備 3",
"name": "Resistance 1",	"name": "魔防 1",
"name": "Resistance 2",	"name": "魔防 2",
"name": "Resistance 3",	"name": "魔防 3",
"name": "Fury 1",	"name": "獅子奮迅 1",
"name": "Fury 2",	"name": "獅子奮迅 2",
"name": "Fury 3",	"name": "獅子奮迅 3",
"name": "Life and Death 1",	"name": "死線 1",
"name": "Life and Death 2",	"name": "死線 2",
"name": "Life and Death 3",	"name": "死線 3",
"name": "Armored Blow 1",	"name": "金剛の一撃 1",
"name": "Armored Blow 2",	"name": "金剛の一撃 2",
"name": "Armored Blow 3",	"name": "金剛の一撃 3",
"name": "Darting Blow 1",	"name": "飛燕の一撃 1",
"name": "Darting Blow 2",	"name": "飛燕の一撃 2",
"name": "Darting Blow 3",	"name": "飛燕の一撃 3",
"name": "Death Blow 1",	"name": "鬼神の一撃 1",
"name": "Death Blow 2",	"name": "鬼神の一撃 2",
"name": "Death Blow 3",	"name": "鬼神の一撃 3",
"name": "Warding Blow 1",	"name": "明鏡の一撃 1",
"name": "Warding Blow 2",	"name": "明鏡の一撃 2",
"name": "Warding Blow 3",	"name": "明鏡の一撃 3",
"name": "Defiant Atk 1",	"name": "攻撃の覚醒 1",
"name": "Defiant Atk 2",	"name": "攻撃の覚醒 2",
"name": "Defiant Atk 3",	"name": "攻撃の覚醒 3",
"name": "Defiant Spd 1",	"name": "速さの覚醒 1",
"name": "Defiant Spd 2",	"name": "速さの覚醒 2",
"name": "Defiant Spd 3",	"name": "速さの覚醒 3",
"name": "Defiant Def 1",	"name": "守備の覚醒 1",
"name": "Defiant Def 2",	"name": "守備の覚醒 2",
"name": "Defiant Def 3",	"name": "守備の覚醒 3",
"name": "Defiant Res 1",	"name": "魔防の覚醒 1",
"name": "Defiant Res 2",	"name": "魔防の覚醒 2",
"name": "Defiant Res 3",	"name": "魔防の覚醒 3",
"name": "Triangle Adept 1",	"name": "相性激化 1",
"name": "Triangle Adept 2",	"name": "相性激化 2",
"name": "Triangle Adept 3",	"name": "相性激化 3",
"name": "Close Counter",	"name": "近距離反撃",
"name": "Distant Counter",	"name": "遠距離反撃",
"name": "Svalinn Shield",	"name": "スヴェルの盾",
"name": "Seal Atk 1",	"name": "攻撃封じ 1",
"name": "Seal Atk 2",	"name": "攻撃封じ 2",
"name": "Seal Atk 3",	"name": "攻撃封じ 3",
"name": "Seal Spd 1",	"name": "速さ封じ 1",
"name": "Seal Spd 2",	"name": "速さ封じ 2",
"name": "Seal Spd 3",	"name": "速さ封じ 3",
"name": "Seal Def 1",	"name": "守備封じ 1",
"name": "Seal Def 2",	"name": "守備封じ 2",
"name": "Seal Def 3",	"name": "守備封じ 3",
"name": "Seal Res 1",	"name": "魔防封じ 1",
"name": "Seal Res 2",	"name": "魔防封じ 2",
"name": "Seal Res 3",	"name": "魔防封じ 3",
"name": "Escape Route 1",	"name": "離脱の行路 1",
"name": "Escape Route 2",	"name": "離脱の行路 2",
"name": "Escape Route 3",	"name": "離脱の行路 3",
"name": "Wings of Mercy 1",	"name": "救援の行路 1",
"name": "Wings of Mercy 2",	"name": "救援の行路 2",
"name": "Wings of Mercy 3",	"name": "救援の行路 3",
"name": "Pass 1",	"name": "すり抜け 1",
"name": "Pass 2",	"name": "すり抜け 2",
"name": "Pass 3",	"name": "すり抜け 3",
"name": "Obstruct 1",	"name": "進軍阻止 1",
"name": "Obstruct 2",	"name": "進軍阻止 2",
"name": "Obstruct 3",	"name": "進軍阻止 3",
"name": "Wary Fighter 1",	"name": "守備隊形 1",
"name": "Wary Fighter 2",	"name": "守備隊形 2",
"name": "Wary Fighter 3",	"name": "守備隊形 3",
"name": "Vantage 1",	"name": "待ち伏せ 1",
"name": "Vantage 2",	"name": "待ち伏せ 2",
"name": "Vantage 3",	"name": "待ち伏せ 3",
"name": "Quick Riposte 1",	"name": "切り返し 1",
"name": "Quick Riposte 2",	"name": "切り返し 2",
"name": "Quick Riposte 3",	"name": "切り返し 3",
"name": "Desperation 1",	"name": "攻め立て 1",
"name": "Desperation 2",	"name": "攻め立て 2",
"name": "Desperation 3",	"name": "攻め立て 3",
"name": "Brash Assault 1",	"name": "差し違え 1",
"name": "Brash Assault 2",	"name": "差し違え 2",
"name": "Brash Assault 3",	"name": "差し違え 3",
"name": "Poison Strike 1",	"name": "蛇毒 1",
"name": "Poison Strike 2",	"name": "蛇毒 2",
"name": "Poison Strike 3",	"name": "蛇毒 3",
"name": "Renewal 1",	"name": "回復 1",
"name": "Renewal 2",	"name": "回復 2",
"name": "Renewal 3",	"name": "回復 3",
"name": "Live to Serve 1",	"name": "ご奉仕の喜び 1",
"name": "Live to Serve 2",	"name": "ご奉仕の喜び 2",
"name": "Live to Serve 3",	"name": "ご奉仕の喜び 3",
"name": "Swordbreaker 1",	"name": "剣殺し 1",
"name": "Swordbreaker 2",	"name": "剣殺し 2",
"name": "Swordbreaker 3",	"name": "剣殺し 3",
"name": "Axebreaker 1",	"name": "斧殺し 1",
"name": "Axebreaker 2",	"name": "斧殺し 2",
"name": "Axebreaker 3",	"name": "斧殺し 3",
"name": "Lancebreaker 1",	"name": "槍殺し 1",
"name": "Lancebreaker 2",	"name": "槍殺し 2",
"name": "Lancebreaker 3",	"name": "槍殺し 3",
"name": "B Tomebreaker 1",	"name": "青魔殺し 1",
"name": "B Tomebreaker 2",	"name": "青魔殺し 2",
"name": "B Tomebreaker 3",	"name": "青魔殺し 3",
"name": "G Tomebreaker 1",	"name": "緑魔殺し 1",
"name": "G Tomebreaker 2",	"name": "緑魔殺し 2",
"name": "G Tomebreaker 3",	"name": "緑魔殺し 3",
"name": "R Tomebreaker 1",	"name": "赤魔殺し 1",
"name": "R Tomebreaker 2",	"name": "赤魔殺し 2",
"name": "R Tomebreaker 3",	"name": "赤魔殺し 3",
"name": "Bowbreaker 1",	"name": "弓殺し 1",
"name": "Bowbreaker 2",	"name": "弓殺し 2",
"name": "Bowbreaker 3",	"name": "弓殺し 3",
"name": "Daggerbreaker 1",	"name": "暗器殺し 1",
"name": "Daggerbreaker 2",	"name": "暗器殺し 2",
"name": "Daggerbreaker 3",	"name": "暗器殺し 3",
"name": "Lunge",	"name": "切り込み",
"name": "Knock Back",	"name": "叩き込み",
"name": "Drag Back",	"name": "引き込み",
"name": "Hone Atk 1",	"name": "攻撃の鼓舞 1",
"name": "Hone Atk 2",	"name": "攻撃の鼓舞 2",
"name": "Hone Atk 3",	"name": "攻撃の鼓舞 3",
"name": "Hone Spd 1",	"name": "速さの鼓舞 1",
"name": "Hone Spd 2",	"name": "速さの鼓舞 2",
"name": "Hone Spd 3",	"name": "速さの鼓舞 3",
"name": "Fortify Def 1",	"name": "守備の鼓舞 1",
"name": "Fortify Def 2",	"name": "守備の鼓舞 2",
"name": "Fortify Def 3",	"name": "守備の鼓舞 3",
"name": "Fortify Res 1",	"name": "魔防の鼓舞 1",
"name": "Fortify Res 2",	"name": "魔防の鼓舞 2",
"name": "Fortify Res 3",	"name": "魔防の鼓舞 3",
"name": "Spur Atk 1",	"name": "攻撃の紋章 1",
"name": "Spur Atk 2",	"name": "攻撃の紋章 2",
"name": "Spur Atk 3",	"name": "攻撃の紋章 3",
"name": "Spur Spd 1",	"name": "速さの紋章 1",
"name": "Spur Spd 2",	"name": "速さの紋章 2",
"name": "Spur Spd 3",	"name": "速さの紋章 3",
"name": "Spur Def 1",	"name": "守備の紋章 1",
"name": "Spur Def 2",	"name": "守備の紋章 2",
"name": "Spur Def 3",	"name": "守備の紋章 3",
"name": "Spur Res 1",	"name": "魔防の紋章 1",
"name": "Spur Res 2",	"name": "魔防の紋章 2",
"name": "Spur Res 3",	"name": "魔防の紋章 3",
"name": "Threaten Atk 1",	"name": "攻撃の威嚇 1",
"name": "Threaten Atk 2",	"name": "攻撃の威嚇 2",
"name": "Threaten Atk 3",	"name": "攻撃の威嚇 3",
"name": "Threaten Spd 1",	"name": "速さの威嚇 1",
"name": "Threaten Spd 2",	"name": "速さの威嚇 2",
"name": "Threaten Spd 3",	"name": "速さの威嚇 3",
"name": "Threaten Def 1",	"name": "守備の威嚇 1",
"name": "Threaten Def 2",	"name": "守備の威嚇 2",
"name": "Threaten Def 3",	"name": "守備の威嚇 3",
"name": "Threaten Res 1",	"name": "魔防の威嚇 1",
"name": "Threaten Res 2",	"name": "魔防の威嚇 2",
"name": "Threaten Res 3",	"name": "魔防の威嚇 3",
"name": "Savage Blow 1",	"name": "死の吐息 1",
"name": "Savage Blow 2",	"name": "死の吐息 2",
"name": "Savage Blow 3",	"name": "死の吐息 3",
"name": "Breath of Life 1",	"name": "生の息吹 1",
"name": "Breath of Life 2",	"name": "生の息吹 2",
"name": "Breath of Life 3",	"name": "生の息吹 3",
"name": "Hone Armor",	"name": "重刃の鼓舞",
"name": "Fortify Armor",	"name": "重盾の鼓舞",
"name": "Goad Armor",	"name": "重刃の紋章",
"name": "Ward Armor",	"name": "重盾の紋章",
"name": "Hone Fliers",	"name": "飛刃の鼓舞",
"name": "Fortify Fliers",	"name": "飛盾の鼓舞",
"name": "Goad Fliers",	"name": "飛刃の紋章",
"name": "Ward Fliers",	"name": "飛盾の紋章",
"name": "Hone Cavalry",	"name": "騎刃の鼓舞",
"name": "Fortify Cavalry",	"name": "騎盾の鼓舞",
"name": "Goad Cavalry",	"name": "騎刃の紋章",
"name": "Ward Cavalry",	"name": "騎盾の紋章",
"name": "Fortify Dragons",	"name": "竜盾の鼓舞",
"name": "Iote's Shield",	"name": "アイオテの盾",
"name": "Swift Sparrow 1",	"name": "鬼神飛燕の一撃 1",
"name": "Swift Sparrow 2",	"name": "鬼神飛燕の一撃 2",
"name": "Carrot Lance",	"name": "ニンジンの槍",
"name": "Carrot Lance+",	"name": "ニンジンの槍+",
"name": "Carrot Axe",	"name": "ニンジンの斧",
"name": "Carrot Axe+",	"name": "ニンジンの斧+",
"name": "Blue Egg",	"name": "青の卵",
"name": "Blue Egg+",	"name": "青の卵+",
"name": "Green Egg",	"name": "緑の卵",
"name": "Green Egg+",	"name": "緑の卵+",
"name": "Attack Def 1",	"name": "攻撃守備 1",
"name": "Attack Def 2",	"name": "攻撃守備 2",
"name": "Axe Experience 1",	"name": "斧の経験 1",
"name": "Axe Experience 2",	"name": "斧の経験 2",
"name": "Axe Experience 3",	"name": "斧の経験 3",
"name": "Live for Honor",	"name": "栄誉の喜び",
"name": "Live for Bounty",	"name": "豊穣の喜び",
"name": "Attack 1",	"name": "攻撃 1",
"name": "Resistance 1",	"name": "魔防 1",
"name": "Speed 1",	"name": "速さ 1",
"name": "HP +3",	"name": "ＨＰ 1",
"name": "Windsweep 1",	"name": "風薙ぎ 1",
"name": "Windsweep 2",	"name": "風薙ぎ 2",
"name": "Windsweep 3",	"name": "風薙ぎ 3",
"name": "Hit and Run",	"name": "一撃離脱",
"name": "Fortress Def 1",	"name": "守備の城塞 1",
"name": "Fortress Def 2",	"name": "守備の城塞 2",
"name": "Fortress Def 3",	"name": "守備の城塞 3",
"name": "Firesweep Bow",	"name": "火薙ぎの弓",
"name": "Firesweep Bow+",	"name": "火薙ぎの弓+",
"name": "Bow Experience 1",	"name": "弓の経験 1",
"name": "Bow Experience 2",	"name": "弓の経験 2",
"name": "Bow Experience 3",	"name": "弓の経験 3",
"name": "Eckesachs",	"name": "エッケザックス",
"name": "Ragnell",	"name": "ラグネル",
"name": "Heavy Blade 1",	"name": "剛剣 1",
"name": "Heavy Blade 2",	"name": "剛剣 2",
"name": "Heavy Blade 3",	"name": "剛剣 3",
"name": "Spur Def Res 1",	"name": "守備魔防の紋章 1",
"name": "Spur Def Res 2",	"name": "守備魔防の紋章 2",
"name": "Rexcalibur+",	"name": "レクスカリバー+",
"name": "Guard 1",	"name": "キャンセル 1",
"name": "Guard 2",	"name": "キャンセル 2",
"name": "Guard 3",	"name": "キャンセル 3",
"name": "Watersweep 1",	"name": "水薙ぎ 1",
"name": "Watersweep 2",	"name": "水薙ぎ 2",
"name": "Watersweep 3",	"name": "水薙ぎ 3",
"name": "Siegfried",	"name": "ジークフリート",
"name": "Gronnowl",	"name": "グルンアウル",
"name": "Gronnowl+",	"name": "グルンアウル+",
"name": "Earth Boost 1",	"name": "生命の大地 1",
"name": "Earth Boost 2",	"name": "生命の大地 2",
"name": "Earth Boost 3",	"name": "生命の大地 3",
"name": "Ragnarok",	"name": "ライナロック",
"name": "Distant Def 1",	"name": "遠距離防御 1",
"name": "Distant Def 2",	"name": "遠距離防御 2",
"name": "Distant Def 3",	"name": "遠距離防御 3",
"name": "Wrathful Staff 1",	"name": "神罰の杖 1",
"name": "Wrathful Staff 2",	"name": "神罰の杖 2",
"name": "Wrathful Staff 3",	"name": "神罰の杖 3",
"name": "Blarowl",	"name": "ブラーアウル",
"name": "Blarowl+",	"name": "ブラーアウル+",
"name": "B Tome Exp. 1",	"name": "青魔の経験 1",
"name": "B Tome Exp. 2",	"name": "青魔の経験 2",
"name": "B Tome Exp. 3",	"name": "青魔の経験 3",
"name": "Regal Blade",	"name": "リガルブレイド",
"name": "Blessed Bouquet",	"name": "聖なるブーケ",
"name": "Blessed Bouquet+",	"name": "聖なるブーケ+",
"name": "Attack Res 1",	"name": "攻撃魔防 1",
"name": "Attack Res 2",	"name": "攻撃魔防 2",
"name": "Gradivus",	"name": "グラディウス",
"name": "Grani's Shield",	"name": "グラ二の盾",
"name": "First Bite",	"name": "ファーストバイト",
"name": "First Bite+",	"name": "ファーストバイト+",
"name": "Wind Boost 1",	"name": "生命の疾風 1",
"name": "Wind Boost 2",	"name": "生命の疾風 2",
"name": "Wind Boost 3",	"name": "生命の疾風 3",
"name": "Cupid Arrow",	"name": "キューピッドの矢",
"name": "Cupid Arrow+",	"name": "キューピッドの矢+",
"name": "Rally Attack Speed",	"name": "攻撃速さの応援",
"name": "Candlelight",	"name": "キャンドルサービス",
"name": "Dazzling Staff 1",	"name": "幻惑の杖 1",
"name": "Dazzling Staff 2",	"name": "幻惑の杖 2",
"name": "Dazzling Staff 3",	"name": "幻惑の杖 3",
"name": "Fortify Res 1",	"name": "魔防の鼓舞 1",
"name": "Spur Def 1",	"name": "守備の紋章 1",
"name": "Quickened Pulse",	"name": "奥義の鼓動",
"name": "Breath of Life 1",	"name": "生の息吹 1",
"name": "Embla's Ward",	"name": "エンブラの加護",
"name": "Raudrowl",	"name": "ラウアアウル",
"name": "Raudrowl+",	"name": "ラウアアウル+",
"name": "Atk Ploy 1",	"name": "攻撃の謀策 1",
"name": "Atk Ploy 2",	"name": "攻撃の謀策 2",
"name": "Atk Ploy 3",	"name": "攻撃の謀策 3",
"name": "Sturdy Blow 1",	"name": "鬼神金剛の一撃 1",
"name": "Sturdy Blow 2",	"name": "鬼神金剛の一撃 2",
"name": "Sword Exp. 1",	"name": "剣の経験 1",
"name": "Sword Exp. 2",	"name": "剣の経験 2",
"name": "Sword Exp. 3",	"name": "剣の経験 3",
"name": "Firesweep Lance",	"name": "火薙ぎの槍",
"name": "Firesweep Lance+",	"name": "火薙ぎの槍+",
"name": "Rally Defense Resist",	"name": "守備魔防の応援",
"name": "Drive Def 1",	"name": "守備の大紋章 1",
"name": "Drive Def 2",	"name": "守備の大紋章 2",
"name": "Fire Boost 1",	"name": "生命の業火 1",
"name": "Fire Boost 2",	"name": "生命の業火 2",
"name": "Fire Boost 3",	"name": "生命の業火 3",
"name": "Panic Ploy 1",	"name": "恐慌の奇策 1",
"name": "Panic Ploy 2",	"name": "恐慌の奇策 2",
"name": "Panic Ploy 3",	"name": "恐慌の奇策 3",
"name": "Legion's Axe",	"name": "ローローの斧",
"name": "Legion's Axe+",	"name": "ローローの斧+",
"name": "Clarisse's Bow",	"name": "クライネの弓",
"name": "Clarisse's Bow+",	"name": "クライネの弓+",
"name": "Seashell",	"name": "貝殻",
"name": "Seashell+",	"name": "貝殻+",
"name": "Seal Atk Spd 1",	"name": "攻撃速さ封じ 1",
"name": "Seal Atk Spd 2",	"name": "攻撃速さ封じ 2",
"name": "Refreshing Bolt",	"name": "氷菓子の弓",
"name": "Refreshing Bolt+",	"name": "氷菓子の弓+",
"name": "Def Ploy 1",	"name": "守備の謀策 1",
"name": "Def Ploy 2",	"name": "守備の謀策 2",
"name": "Def Ploy 3",	"name": "守備の謀策 3",
"name": "Deft Harpoon",	"name": "魚を突いた銛",
"name": "Deft Harpoon+",	"name": "魚を突いた銛+",
"name": "Lance Valor 1",	"name": "槍の技量 1",
"name": "Lance Valor 2",	"name": "槍の技量 2",
"name": "Lance Valor 3",	"name": "槍の技量 3",
"name": "Melon Crusher",	"name": "スイカ割りの棍棒",
"name": "Melon Crusher+",	"name": "スイカ割りの棍棒+",
"name": "HP Def 1",	"name": "ＨＰ守備 1",
"name": "HP Def 2",	"name": "ＨＰ守備 2",
"name": "Close Def 1",	"name": "近距離防御 1",
"name": "Close Def 2",	"name": "近距離防御 2",
"name": "Close Def 3",	"name": "近距離防御 3",
"name": "Axe Valor 1",	"name": "斧の技量 1",
"name": "Axe Valor 2",	"name": "斧の技量 2",
"name": "Axe Valor 3",	"name": "斧の技量 3",
"name": "Dark Aura",	"name": "共鳴オーラ",
"name": "Drive Atk 1",	"name": "攻撃の大紋章 1",
"name": "Drive Atk 2",	"name": "攻撃の大紋章 2",
"name": "Dark Excalibur",	"name": "共鳴エクスカリバー",
"name": "Mirror Strike 1",	"name": "鬼神明鏡の一撃 1",
"name": "Mirror Strike 2",	"name": "鬼神明鏡の一撃 2",
"name": "Res Ploy 1",	"name": "魔防の謀策 1",
"name": "Res Ploy 2",	"name": "魔防の謀策 2",
"name": "Res Ploy 3",	"name": "魔防の謀策 3",
"name": "Zanbato",	"name": "斬馬刀",
"name": "Zanbato+",	"name": "斬馬刀+",
"name": "Sword Valor 1",	"name": "剣の技量 1",
"name": "Sword Valor 2",	"name": "剣の技量 2",
"name": "Sword Valor 3",	"name": "剣の技量 3",
"name": "Slaying Bow",	"name": "キラーボウ鍛",
